Sistematic name	RA (mol/cell) [Nagalakshmi et al. 2008; Miura et al. 2008]	RS (min) [Wang et al. 2002]	TR indirect (mol/min) w/o dilution correction	TR (mol/min) w/o dilution correction	TR indirect (mol/min) dilution corrected	TR (mol/min) dilution corrected	RNA pol II density (per kb)	RNA pol II  presence (per gene)
YBR185C	3.2022	23	0.0965	0.0557	0.1161	0.0654	0.0436	0.0364
YBR186W	0.0640			0.0185		0.0218	0.0145	0.0262
YBR187W	7.5572	14	0.3742	0.2406	0.4205	0.2823	0.1882	0.1585
YBR188C	0.8966	16	0.0388	0.0802	0.0443	0.0940	0.0627	0.0265
YBR189W	52.0038	18	2.0026		2.3216			
YBR190W		73		0.0635		0.0745	0.0497	0.0155
YBR191W	60.7138	23	1.8297	0.5299	2.2021	0.6216	0.4144	0.3605
YBR191W-A								
YBR192W	0.8646	21	0.0285	0.1554	0.0338	0.1823	0.1215	0.1377
YBR193C	3.4264	15	0.1583		0.1793			
YBR194W	1.0567	32	0.0229	0.2032	0.0294	0.2384	0.1589	0.0590
YBR195C	0.7685	9	0.0592	0.0684	0.0639	0.0803	0.0535	0.0679
YBR196C	61.3222	59	0.7204	0.7940	1.0966	0.9314	0.6210	1.0333
YBR196C-A	0.4803							
YBR196C-B	0.2882							
YBR197C	1.0887	21	0.0359	0.1858	0.0426	0.2180	0.1453	0.0949
YBR198C	2.1135	13	0.1127		0.1257			
YBR199W	5.4437	19	0.1986	0.0905	0.2320	0.1062	0.0708	0.0987
YBR200W	0.9607	4	0.1665		0.1724			
YBR200W-A	0.0640							
YBR201C-A	1.1208							
YBR201W	1.2489	31	0.0279	0.0677	0.0356	0.0794	0.0530	0.0336
YBR202W	0.4483			0.1795		0.2106	0.1404	0.3562
YBR203W	0.1601			0.0303		0.0355	0.0237	0.0656
YBR204C	2.6578	29	0.0635		0.0798			
YBR205W		14						
YBR206W		29		0.1517		0.1780	0.1187	0.0383
YBR207W	4.8033	17	0.1958	0.1307	0.2253	0.1533	0.1022	0.1428
YBR208C	1.2809			0.0916		0.1074	0.0716	0.3944
YBR209W	0.0640	35	0.0013		0.0017			
YBR210W	1.6972	24	0.0490	0.0496	0.0594	0.0582	0.0388	0.0166
YBR211C	1.4730	25	0.0408	0.0509	0.0499	0.0597	0.0398	0.0388
YBR212W	4.0028	56	0.0495	0.0887	0.0741	0.1040	0.0694	0.1400
YBR213W	0.3843			0.0399		0.0469	0.0312	0.0257
YBR214W	2.6899	67	0.0278	0.0960	0.0443	0.1127	0.0751	0.1189
YBR215W	0.6404	7	0.0634	0.0908	0.0673	0.1065	0.0710	0.1392
YBR216C	0.9607	43	0.0155	0.0631	0.0214	0.0740	0.0493	0.0999
YBR217W	1.4090	28	0.0349	0.0628	0.0435	0.0736	0.0491	0.0275
YBR218C	2.4337	33	0.0511		0.0660			
YBR219C	0.0640	26	0.0017	0.0654	0.0021	0.0768	0.0512	0.0412
YBR220C		12		0.1204		0.1412	0.0941	0.1583
YBR221C	10.5032	25	0.2912		0.3556			
YBR221W-A								
YBR222C		26						
YBR223C		34		0.0641		0.0752	0.0501	0.0819
YBR223W-A								
YBR224W				0.0495		0.0580	0.0387	0.0199
YBR225W		26		0.0739		0.0867	0.0578	0.1563
YBR226C								
YBR227C		13						
YBR228W	0.2882							
YBR229C	1.5691	19	0.0572	0.0302	0.0669	0.0354	0.0236	0.0677
YBR230C	5.1235	37	0.0960		0.1274			
YBR230W-A	1.8893							
YBR231C	0.3522	15	0.0163		0.0184			
YBR232C		32		0.0271		0.0318	0.0212	0.0076
YBR233W	0.6404			0.0565		0.0663	0.0442	0.0548
YBR233W-A	1.1848							
YBR234C	5.8600	35	0.1161	0.0996	0.1520	0.1168	0.0779	0.0899
YBR235W	1.9213	10	0.1332	0.0813	0.1450	0.0953	0.0636	0.2137
YBR236C	1.9533			0.0964		0.1131	0.0754	0.0988
YBR237W	0.8646	14	0.0428	0.0939	0.0481	0.1102	0.0735	0.1872
YBR238C	0.7365	26	0.0196	0.2256	0.0242	0.2646	0.1764	0.3873
YBR239C	0.5764	11	0.0363	0.0982	0.0399	0.1152	0.0768	0.1220
YBR240C	0.0320							
YBR241C	0.7045	26	0.0188		0.0231			
YBR242W		16		0.1276		0.1497	0.0998	0.0715
YBR243C		12		0.0317		0.0372	0.0248	0.0334
YBR244W	9.9589	12	0.5752		0.6363			
YBR245C	1.4090			0.0807		0.0947	0.0631	0.2140
YBR246W		15		0.0400		0.0470	0.0313	0.0364
YBR247C	1.3449	10	0.0932	0.2005	0.1015	0.2352	0.1568	0.2275
YBR248C	5.3797	11	0.3390	0.1922	0.3720	0.2255	0.1504	0.2493
YBR249C	10.2791	29	0.2457	0.1641	0.3087	0.1926	0.1284	0.1428
YBR250W	0.1281							
YBR251W	2.2736	14	0.1126	0.1451	0.1265	0.1703	0.1135	0.1048
YBR252W	2.5618	15	0.1184	0.2505	0.1341	0.2938	0.1959	0.0868
YBR253W	1.4410	24	0.0416	0.1747	0.0505	0.2049	0.1366	0.0499
YBR254C	1.3769			0.1244		0.1460	0.0973	0.0513
YBR255C-A				0.1268		0.1488	0.0992	0.0452
YBR255W		18		0.0875		0.1026	0.0684	0.1426
YBR256C	5.3477	22	0.1685	0.1183	0.2013	0.1388	0.0925	0.0662
YBR257W		12		0.0639		0.0750	0.0500	0.0419
YBR258C		14		0.1149		0.1348	0.0899	0.0385
YBR259W	0.8006	14	0.0396		0.0445			
YBR260C	0.7045	10	0.0488	0.0723	0.0532	0.0848	0.0565	0.1130
YBR261C	3.5865	15	0.1657	0.1606	0.1877	0.1884	0.1256	0.0877
YBR262C	1.4090	13	0.0751	0.4595	0.0838	0.5390	0.3594	0.1150
YBR263W		33		0.1480		0.1736	0.1157	0.1704
YBR264C		16		0.1208		0.1418	0.0945	0.0566
YBR265W	2.1775	9	0.1677	0.2185	0.1811	0.2564	0.1709	0.1644
YBR266C		4		0.1956		0.2294	0.1530	0.0691
YBR267W	1.5371	10	0.1065	0.4737	0.1160	0.5557	0.3705	0.4375
YBR268W	4.0348	15	0.1864	0.1920	0.2112	0.2252	0.1501	0.0476
YBR269C	0.7365	17	0.0300	0.1504	0.0345	0.1765	0.1177	0.0489
YBR270C	0.2562	23	0.0077	0.0403	0.0093	0.0473	0.0315	0.0516
YBR271W	0.6404	12	0.0370	0.0640	0.0409	0.0751	0.0500	0.0630
YBR272C	0.2562	19	0.0093		0.0109			
YBR273C	2.2415	21	0.0740	0.0996	0.0877	0.1168	0.0779	0.1020
YBR274W	1.0887	16	0.0472	0.0362	0.0538	0.0425	0.0283	0.0448
YBR275C	1.6972			0.0897		0.1052	0.0701	0.4032
YBR276C	2.7219	9	0.2096		0.2263			
YBR277C		18						
YBR278W	4.3230	6	0.4994	0.1077	0.5259	0.1264	0.0843	0.0510
YBR279W	1.5371	10	0.1065	0.1578	0.1160	0.1851	0.1234	0.1650
YBR280C	1.2809							
YBR281C	3.0421	11	0.1917	0.0682	0.2104	0.0800	0.0533	0.1405
YBR282W	2.7859			0.0796		0.0934	0.0622	0.0274
YBR283C	5.7960	14	0.2870	0.1391	0.3225	0.1632	0.1088	0.1602
YBR284W	0.0640	42	0.0011	0.0182	0.0014	0.0213	0.0142	0.0340
YBR285W	0.1921							
YBR286W	14.5380	26	0.3876	0.3884	0.4768	0.4557	0.3038	0.4900
YBR287W	4.5471	31	0.1017	0.2166	0.1296	0.2541	0.1694	0.2174
YBR288C	1.5050	11	0.0948	0.0763	0.1041	0.0895	0.0597	0.0866
YBR289W	0.9607	32	0.0208	0.1410	0.0267	0.1654	0.1103	0.2996
YBR290W	1.9213			0.1886		0.2213	0.1475	0.1424
YBR291C	1.2489	5	0.1731	0.1237	0.1808	0.1452	0.0968	0.0870
YBR292C	0.6084							
YBR293W	1.6331			0.0437		0.0512	0.0341	0.0486
YBR294W	0.0640	6	0.0074	0.0464	0.0078	0.0544	0.0363	0.0936
YBR295W	0.7045	29	0.0168	0.0558	0.0212	0.0655	0.0437	0.1594
YBR296C	1.1528	21	0.0381		0.0451			
YBR296C-A	0.0640							
YBR297W	0.3522	28	0.0087		0.0109			
YBR298C	0.2562	18	0.0099	0.0479	0.0114	0.0562	0.0375	0.0691
YBR298C-A								
YBR299W		49		0.0199		0.0233	0.0155	0.0272
YBR300C	0.0640			0.0905		0.1062	0.0708	0.0352
YBR301W				0.0209		0.0246	0.0164	0.0059
YBR302C		13						
YCL001W	8.4538	26	0.2254		0.2772			
YCL001W-A	0.2562							
YCL001W-B	0.1281							
YCL002C	2.0814	15	0.0962	0.0505	0.1090	0.0593	0.0395	0.0328
YCL004W	1.5050	35	0.0298	0.0595	0.0390	0.0699	0.0466	0.0729
YCL005W	2.1135	9	0.1628	0.0737	0.1757	0.0865	0.0577	0.0444
YCL005W-A								
YCL007C		28		0.1658		0.1945	0.1296	0.0508
YCL008C	1.1848	26	0.0316	0.0923	0.0389	0.1083	0.0722	0.0836
YCL009C	4.5471	41	0.0769		0.1048			
YCL010C	0.2882	19	0.0105	0.2179	0.0123	0.2557	0.1705	0.1328
YCL011C	5.2196	17	0.2128	0.2196	0.2448	0.2577	0.1718	0.2204
YCL012C	1.5371							
YCL014W	0.3202	16	0.0139	0.0432	0.0158	0.0507	0.0338	0.1659
YCL016C	0.1921	9	0.0148	0.0755	0.0160	0.0886	0.0591	0.0675
YCL017C	4.2589	12	0.2460	0.0913	0.2721	0.1071	0.0714	0.1066
YCL018W	0.0640	68	0.0007		0.0010			
YCL021W-A	0.5764			0.0626		0.0734	0.0490	0.0185
YCL022C		8		0.0486		0.0570	0.0380	0.0196
YCL023C	0.0640	18	0.0025		0.0029			
YCL024W	0.5444	7	0.0539	0.0408	0.0572	0.0479	0.0319	0.0993
YCL025C	1.1848	3	0.2738	0.0871	0.2810	0.1022	0.0681	0.1295
YCL026C-A	0.1281							
YCL026C-B				0.0341		0.0400	0.0267	0.0155
YCL027W								
YCL028W	3.2662	31	0.0730	0.0902	0.0931	0.1058	0.0705	0.0858
YCL029C	1.0567	14	0.0523	0.1288	0.0588	0.1511	0.1007	0.1332
YCL030C	4.4190	5	0.6126		0.6397			
YCL031C	4.0668	7	0.4027	0.2043	0.4276	0.2397	0.1598	0.1427
YCL032W	0.7365	6	0.0851		0.0896			
YCL033C		27		0.1047		0.1229	0.0819	0.0414
YCL034W		17		0.1241		0.1455	0.0970	0.1032
YCL035C	26.0339	56	0.3222	0.2210	0.4819	0.2593	0.1729	0.0574
YCL036W	0.2882							
YCL037C	0.4803	17	0.0196	0.3503	0.0225	0.4110	0.2740	0.3573
YCL038C		28		0.0245		0.0287	0.0191	0.0303
YCL039W								
YCL040W	14.5060	60	0.1676		0.2566			
YCL041C		27						
YCL042W		82						
YCL043C	7.3330	21	0.2420	0.3495	0.2870	0.4100	0.2733	0.4286
YCL044C	0.1921	25	0.0053	0.0670	0.0065	0.0786	0.0524	0.0657
YCL045C	4.9954	16	0.2164		0.2471			
YCL046W		22		0.3389		0.3976	0.2650	0.0856
YCL047C	4.0028	24	0.1156	0.0380	0.1402	0.0446	0.0297	0.0231
YCL048W	0.6404	57	0.0078	0.0538	0.0117	0.0631	0.0421	0.0586
YCL048W-A	0.0640							
YCL049C	1.0567	10	0.0732		0.0797			
YCL050C	10.6313	35	0.2105	0.1950	0.2758	0.2288	0.1525	0.1472
YCL051W	1.2809	18	0.0493	0.1416	0.0572	0.1661	0.1108	0.1939
YCL052C	5.4758	20	0.1898	0.0401	0.2234	0.0471	0.0314	0.0392
YCL054W	1.7932	6	0.2072	0.2758	0.2182	0.3236	0.2157	0.5447
YCL055W	1.4730			0.1182		0.1386	0.0924	0.0931
YCL056C		23		0.0935		0.1096	0.0731	0.0317
YCL057C-A								
YCL057W		24		0.1219		0.1430	0.0953	0.2038
YCL058C		12						
YCL058W-A								
YCL059C	3.7466	15	0.1731	0.1328	0.1961	0.1558	0.1039	0.0987
YCL061C	0.3843			0.0675		0.0791	0.0528	0.1736
YCL063W	0.5124	17	0.0209	0.1006	0.0240	0.1180	0.0787	0.1000
YCL064C	6.9168	20	0.2397		0.2821			
YCL065W	0.0640			0.0659		0.0773	0.0515	0.0190
YCL066W		10		0.0775		0.0909	0.0606	0.0319
YCL067C		7						
YCL068C		12		0.0233		0.0274	0.0182	0.0143
YCL069W				0.0289		0.0339	0.0226	0.0311
YCL073C				0.0141		0.0165	0.0110	0.0204
YCL076W	0.0640							
YCR001W	0.2242	26	0.0060		0.0074			
YCR002C	6.3724	17	0.2598	0.1038	0.2989	0.1218	0.0812	0.0786
YCR003W	1.3769	20	0.0477	0.1177	0.0562	0.1381	0.0920	0.0507
YCR004C	7.4291	29	0.1776		0.2231			
YCR005C	16.9076	42	0.2790	0.8369	0.3827	0.9819	0.6546	0.9046
YCR006C	0.4483	43	0.0072	0.1038	0.0100	0.1218	0.0812	0.0384
YCR007C	0.1921	35	0.0038	0.0542	0.0050	0.0636	0.0424	0.0305
YCR008W	0.5764	26	0.0154	0.1309	0.0189	0.1536	0.1024	0.1854
YCR009C	6.1803			0.1881		0.2206	0.1471	0.1172
YCR010C	0.0640			0.0173		0.0203	0.0135	0.0115
YCR011C	0.8326	52	0.0111		0.0162			
YCR012W		70		1.1370		1.3338	0.8892	1.1115
YCR013C		58						
YCR014C	0.6725	29	0.0161	0.0750	0.0202	0.0880	0.0587	0.1026
YCR015C	1.0887			0.0712		0.0835	0.0557	0.0531
YCR016W	1.6011	19	0.0584	0.0999	0.0682	0.1172	0.0781	0.0681
YCR017C	3.1382			0.0911		0.1069	0.0713	0.2039
YCR018C	3.9067							
YCR018C-A								
YCR019W		17		0.0314		0.0369	0.0246	0.0268
YCR020C				0.0202		0.0237	0.0158	0.0102
YCR020C-A	2.0814			0.1057		0.1240	0.0827	0.0220
YCR020W-B	1.0887							
YCR021C	15.7228							
YCR022C	0.0640	74	0.0006		0.0010			
YCR023C	0.3843	23	0.0116	0.0991	0.0139	0.1163	0.0775	0.1423
YCR024C	0.5124	33	0.0108	0.0467	0.0139	0.0548	0.0366	0.0540
YCR024C-A		20						
YCR024C-B	20.5582							
YCR025C	0.0640	78	0.0006	0.0764	0.0010	0.0896	0.0597	0.0245
YCR026C	0.5764	18	0.0222	0.1846	0.0257	0.2165	0.1444	0.3216
YCR027C	0.4803	11	0.0303	0.1027	0.0332	0.1204	0.0803	0.0505
YCR028C	1.2489	29	0.0298	0.0298	0.0375	0.0350	0.0233	0.0359
YCR028C-A	8.4858	29	0.2028		0.2549			
YCR030C	0.5444	25	0.0151		0.0184			
YCR031C		35		0.2507		0.2941	0.1961	0.1412
YCR032W	0.3202							
YCR033W	1.0567	20	0.0366	0.1791	0.0431	0.2101	0.1401	0.5154
YCR034W	6.9168	11	0.4358	0.0459	0.4783	0.0538	0.0359	0.0374
YCR035C	3.9067	17	0.1593	0.1586	0.1833	0.1861	0.1241	0.1469
YCR036W	4.6112	18	0.1776	0.1796	0.2059	0.2107	0.1405	0.1406
YCR037C	1.9533	12	0.1128	0.1575	0.1248	0.1848	0.1232	0.3413
YCR038C	0.7045	31	0.0158		0.0201			
YCR038W-A								
YCR039C		10		0.0428		0.0502	0.0335	0.0211
YCR040W		8						
YCR041W		31		0.0543		0.0637	0.0425	0.0141
YCR042C				0.0324		0.0380	0.0253	0.1070
YCR043C	3.1382							
YCR044C	2.5297	13	0.1349		0.1504			
YCR045C	0.0640			0.1061		0.1245	0.0830	0.1224
YCR045W-A								
YCR046C	1.0247	5	0.1421	0.1664	0.1483	0.1953	0.1302	0.0663
YCR047C	1.0247	10	0.0710	0.1686	0.0773	0.1978	0.1318	0.1090
YCR047W-A								
YCR048W				0.0897		0.1053	0.0702	0.1286
YCR049C		12		0.0636		0.0746	0.0498	0.0222
YCR050C		12						
YCR051W	2.3056	9	0.1776		0.1917			
YCR052W	1.7932	11	0.1130	0.1297	0.1240	0.1521	0.1014	0.1471
YCR053W	18.7329	16	0.8115	0.1178	0.9264	0.1382	0.0921	0.1422
YCR054C	1.1208	12	0.0647		0.0716			
YCR057C	1.3769	6	0.1591		0.1675			
YCR059C	1.8573	12	0.1073		0.1187			
YCR060W	1.9533	14	0.0967	0.1942	0.1087	0.2278	0.1519	0.0509
YCR061W	0.7045	15	0.0326	0.0391	0.0369	0.0459	0.0306	0.0580
YCR063W	0.1921	34	0.0039	0.3138	0.0051	0.3681	0.2454	0.1161
YCR064C	0.0640	15	0.0030	0.1545	0.0034	0.1813	0.1208	0.0495
YCR065W	0.1281	5	0.0178	0.1701	0.0185	0.1996	0.1330	0.2254
YCR066W	0.5764	17	0.0235	0.0541	0.0270	0.0635	0.0423	0.0619
YCR067C	2.0494			0.0394		0.0462	0.0308	0.0984
YCR068W	0.2242	11	0.0141	0.0966	0.0155	0.1134	0.0756	0.1180
YCR069W		15		0.1242		0.1457	0.0971	0.0928
YCR071C		16		0.1420		0.1666	0.1110	0.0489
YCR072C	1.4090	9	0.1085	0.1502	0.1172	0.1762	0.1175	0.1817
YCR073C	0.5764	11	0.0363		0.0399			
YCR073W-A	2.4017	19	0.0876		0.1023			
YCR075C	0.2562	52	0.0034	0.0653	0.0050	0.0766	0.0511	0.0399
YCR075W-A								
YCR076C		24		0.0839		0.0984	0.0656	0.0493
YCR077C	1.6331	14	0.0809		0.0909			
YCR079W	0.7365			0.1311		0.1538	0.1026	0.1362
YCR081C-A								
YCR081W		15						
YCR082W	7.0128	17	0.2859	0.1263	0.3290	0.1482	0.0988	0.0381
YCR083W	1.4410			0.1277		0.1498	0.0999	0.0383
YCR084C	3.1382	12	0.1813	0.1426	0.2005	0.1673	0.1115	0.2388
YCR085W	0.1921							
YCR086W		17		0.0951		0.1116	0.0744	0.0425
YCR087C-A								
YCR087W		14		0.1148		0.1347	0.0898	0.0462
YCR088W	3.5865	39	0.0637	0.2824	0.0857	0.3312	0.2208	0.3926
YCR089W								
YCR090C		11						
YCR091W	0.8966	51	0.0122	0.0381	0.0177	0.0447	0.0298	0.0645
YCR092C	0.8966	8	0.0777		0.0832			
YCR093W	0.4483							
YCR094W	0.5764	9	0.0444	0.0444	0.0479	0.0521	0.0347	0.0408
YCR095C	1.7932	14	0.0888		0.0998			
YCR095W-A	0.3202							
YCR096C		7		0.0722		0.0847	0.0565	0.0203
YCR097W	10.8555	23	0.3271		0.3937			
YCR097W-A	0.0640							
YCR098C	0.0640	18	0.0025		0.0029			
YCR099C	0.1281	14	0.0063		0.0071			
YCR100C		18		0.0525		0.0616	0.0411	0.0390
YCR101C	0.0640	18	0.0025	0.0558	0.0029	0.0655	0.0437	0.0239
YCR102C								
YCR102W-A								
YCR104W		14		0.0118		0.0138	0.0092	0.0035
YCR105W	0.5124							
YCR106W	0.1921							
YCR107W		19						
YCR108C								
YDL001W	0.8966	13	0.0478	0.0590	0.0533	0.0692	0.0461	0.0596
YDL002C	0.7045	24	0.0203	0.2865	0.0247	0.3361	0.2241	0.1369
YDL003W	0.5124	10	0.0355	0.1399	0.0387	0.1642	0.1094	0.1861
YDL004W	8.4858	17	0.3460	0.0584	0.3980	0.0685	0.0457	0.0220
YDL005C	1.6011	12	0.0925	0.0606	0.1023	0.0710	0.0474	0.0613
YDL006W	1.7612	28	0.0436	0.1139	0.0544	0.1336	0.0891	0.0753
YDL007C-A	0.0640							
YDL007W	7.4611	12	0.4310	0.1226	0.4767	0.1439	0.0959	0.1259
YDL008W	1.3449	62	0.0150	0.1482	0.0233	0.1739	0.1159	0.0576
YDL009C		39						
YDL010W		22		0.0737		0.0864	0.0576	0.0400
YDL011C		16		0.1357		0.1591	0.1061	0.0343
YDL012C	5.2516			0.1498		0.1757	0.1171	0.0479
YDL013W	0.5764			0.1325		0.1555	0.1037	0.1927
YDL014W	9.4785	7	0.9386	0.1104	0.9967	0.1295	0.0863	0.0849
YDL015C	9.0943	27	0.2335	0.0932	0.2893	0.1094	0.0729	0.0680
YDL016C		31		0.0901		0.1057	0.0705	0.0213
YDL017W		6						
YDL018C	2.7219	16	0.1179	0.0362	0.1346	0.0425	0.0283	0.0192
YDL019C	0.9927			0.0916		0.1075	0.0717	0.2760
YDL020C	5.0915	36	0.0980	0.6767	0.1293	0.7938	0.5292	0.8441
YDL021W	0.8966			0.0556		0.0653	0.0435	0.0407
YDL022C-A								
YDL022W	9.3184	99	0.0652	0.5200	0.1224	0.6101	0.4067	0.4779
YDL023C				0.4086		0.4794	0.3196	0.1023
YDL024C	0.5764	70	0.0057	0.0164	0.0092	0.0193	0.0128	0.0180
YDL025C				0.0722		0.0847	0.0565	0.1051
YDL025W-A								
YDL026W	0.0640							
YDL027C	1.6331	77	0.0147	0.0613	0.0247	0.0719	0.0479	0.0605
YDL028C	0.2562			0.0916		0.1075	0.0716	0.1643
YDL029W	10.3111	39	0.1833	0.1097	0.2465	0.1287	0.0858	0.1114
YDL030W	0.7685							
YDL031W	0.8006	10	0.0555		0.0604			
YDL032W								
YDL033C	0.8966	12	0.0518	0.4639	0.0573	0.5443	0.3629	0.4547
YDL034W		32		0.0797		0.0935	0.0623	0.0214
YDL035C	0.9607			0.1183		0.1387	0.0925	0.2669
YDL036C	0.4483	15	0.0207		0.0235			
YDL037C	1.0567	51	0.0144	0.4719	0.0208	0.5536	0.3690	0.3639
YDL038C		41						
YDL039C	2.5297	132	0.0133		0.0288			
YDL040C	4.2269	14	0.2093	0.1351	0.2352	0.1585	0.1057	0.2710
YDL041W		34						
YDL042C	0.5764	12	0.0333	0.0618	0.0368	0.0725	0.0483	0.0816
YDL043C	0.4483			0.0599		0.0703	0.0469	0.0375
YDL044C	0.1281	17	0.0052	0.1284	0.0060	0.1506	0.1004	0.1328
YDL045C	3.1382	30	0.0725	0.0767	0.0918	0.0900	0.0600	0.0552
YDL045W-A	2.4977	29	0.0597	0.1021	0.0750	0.1198	0.0799	0.0229
YDL046W	4.1308	20	0.1432	0.1591	0.1685	0.1867	0.1245	0.0648
YDL047W	1.5691	12	0.0906	0.3343	0.1003	0.3922	0.2614	0.2444
YDL048C	2.2095	24	0.0638		0.0774			
YDL049C	0.3202			0.0682		0.0800	0.0534	0.0430
YDL050C		17						
YDL051W		14						
YDL052C	2.2415	14	0.1110		0.1247			
YDL053C	6.8847	24	0.1988	0.1057	0.2411	0.1240	0.0827	0.0461
YDL054C	1.1848	15	0.0548		0.0620			
YDL055C	106.1531	12	6.1316	0.8692	6.7828	1.0197	0.6798	0.7376
YDL056W	0.7685	10	0.0533	0.1015	0.0580	0.1191	0.0794	0.1986
YDL057W	2.7539	63	0.0303	0.0952	0.0472	0.1117	0.0745	0.0734
YDL058W	1.4090	29	0.0337		0.0423			
YDL059C	1.3129							
YDL060W	1.4730	9	0.1134	0.1760	0.1225	0.2065	0.1377	0.3257
YDL061C	74.5153	20	2.5825	0.1815	3.0396	0.2129	0.1420	0.0241
YDL062W	0.0640	25	0.0018	0.1184	0.0022	0.1389	0.0926	0.0393
YDL063C	1.6011			0.1115		0.1308	0.0872	0.1624
YDL064W	2.3376	15	0.1080		0.1224			
YDL065C	2.8500	14	0.1411	0.2094	0.1586	0.2457	0.1638	0.1684
YDL066W	3.6825	33	0.0773	0.0529	0.0999	0.0621	0.0414	0.0532
YDL067C	8.0696							
YDL068W				0.0573		0.0672	0.0448	0.0147
YDL069C	2.5938	20	0.0899	0.0434	0.1058	0.0510	0.0340	0.0234
YDL070W	4.2910	5	0.5949	0.4391	0.6212	0.5151	0.3434	0.6580
YDL071C	0.1281	16	0.0055	0.1307	0.0063	0.1533	0.1022	0.0382
YDL072C	8.0696	24	0.2331	0.1843	0.2826	0.2162	0.1442	0.0881
YDL073W	3.3303	16	0.1443	0.0693	0.1647	0.0813	0.0542	0.1600
YDL074C	4.0988	7	0.4059	0.1602	0.4310	0.1880	0.1253	0.2634
YDL075W	109.8997	24	3.1740	0.5148	3.8482	0.6040	0.4027	0.3068
YDL076C	1.0887	19	0.0397	0.0912	0.0464	0.1070	0.0713	0.0631
YDL077C	1.0247	31	0.0229		0.0292			
YDL078C	3.9387	23	0.1187	0.2017	0.1429	0.2367	0.1578	0.1627
YDL079C	0.1921	29	0.0046	0.0535	0.0058	0.0627	0.0418	0.0751
YDL080C	0.6404	25	0.0178	0.0535	0.0217	0.0628	0.0419	0.0766
YDL081C	91.6471	18	3.5292	0.3821	4.0913	0.4483	0.2989	0.0956
YDL082W	19.4054	18	0.7473	0.3430	0.8663	0.4024	0.2683	0.2586
YDL083C		24		0.5387		0.6320	0.4213	0.3636
YDL084W	17.5801	37	0.3293	0.1361	0.4372	0.1596	0.1064	0.1426
YDL085C-A	2.4017							
YDL085W	0.2562	32	0.0055	0.0375	0.0071	0.0440	0.0293	0.0480
YDL086C-A								
YDL086W	4.2269	19	0.1542	0.1206	0.1801	0.1414	0.0943	0.0774
YDL087C	0.2562			0.1074		0.1260	0.0840	0.0659
YDL088C	1.9213	22	0.0605	0.2402	0.0723	0.2818	0.1878	0.2979
YDL089W	1.6972	23	0.0511	0.0330	0.0616	0.0387	0.0258	0.0375
YDL090C	1.0567	10	0.0732		0.0797			
YDL091C	0.3522			0.0602		0.0706	0.0470	0.0643
YDL092W	6.7887	12	0.3921	0.1843	0.4338	0.2162	0.1442	0.0634
YDL093W	1.3449	35	0.0266	0.0415	0.0349	0.0486	0.0324	0.0724
YDL094C		47		0.0307		0.0360	0.0240	0.0122
YDL095W		18		0.1992		0.2337	0.1558	0.3823
YDL096C		22		0.2257		0.2647	0.1765	0.0575
YDL097C	6.4685	11	0.4076	0.3454	0.4473	0.4053	0.2702	0.3523
YDL098C	0.5764	26	0.0154	0.0859	0.0189	0.1007	0.0672	0.0392
YDL099W	1.6651	11	0.1049	0.2167	0.1151	0.2542	0.1695	0.1737
YDL100C	20.2059	36	0.3890	0.2549	0.5130	0.2990	0.1994	0.2121
YDL101C	1.0887			0.0808		0.0948	0.0632	0.0974
YDL102W	0.3202	41	0.0054		0.0074			
YDL103C	3.4904	21	0.1152	0.0822	0.1366	0.0965	0.0643	0.0922
YDL104C				0.1120		0.1314	0.0876	0.1071
YDL105W				0.1275		0.1496	0.0997	0.1205
YDL106C	0.9607	42	0.0159	0.0716	0.0217	0.0841	0.0560	0.0941
YDL107W	0.6404			0.1386		0.1626	0.1084	0.1144
YDL108W	1.3769	27	0.0353	0.1742	0.0438	0.2043	0.1362	0.1364
YDL109C	0.2562	18	0.0099		0.0114			
YDL110C	4.3550	45	0.0671	0.2490	0.0938	0.2921	0.1947	0.0880
YDL111C		6		0.1107		0.1299	0.0866	0.0690
YDL112W		17		0.1281		0.1503	0.1002	0.4318
YDL113C	1.3769	26	0.0367	0.0669	0.0452	0.0785	0.0523	0.1005
YDL114W	0.1921	32	0.0042		0.0053			
YDL114W-A								
YDL115C	1.3449	32	0.0291		0.0374			
YDL116W	1.1528	17	0.0470	0.0887	0.0541	0.1040	0.0694	0.1512
YDL117W	0.7365	19	0.0269	0.1396	0.0314	0.1638	0.1092	0.2901
YDL118W				0.0504		0.0592	0.0394	0.0150
YDL119C	1.1528	23	0.0347	0.0737	0.0418	0.0864	0.0576	0.0532
YDL120W	3.9387	12	0.2275	0.0653	0.2517	0.0766	0.0511	0.0268
YDL121C	6.8207			0.0626		0.0735	0.0490	0.0220
YDL122W	3.7146	15	0.1716		0.1944			
YDL123W	1.7612			0.1343		0.1576	0.1051	0.0443
YDL124W	26.5783			0.0983		0.1154	0.0769	0.0721
YDL125C	11.3358	31	0.2535	0.3103	0.3230	0.3640	0.2427	0.1424
YDL126C	16.9076	38	0.3084	0.5918	0.4121	0.6943	0.4628	1.1604
YDL127W	0.2562	13	0.0137	0.0926	0.0152	0.1086	0.0724	0.0670
YDL128W	3.8426	10	0.2664	0.1540	0.2899	0.1807	0.1204	0.1487
YDL129W	0.3843			0.1181		0.1385	0.0923	0.0808
